label_top,label_side,lenght,breadth,height,side_x,cuboid_volume,actual_volume,weight
fired_dough_twist004T(1),fired_dough_twist004S(1),39.433,101.549,38.136,97.384,152.7111012,60,39.6
fired_dough_twist004T(10),fired_dough_twist004S(10),42.045,101.261,39.035,86.798,166.1922442,60,39.6
fired_dough_twist004T(2),fired_dough_twist004S(2),45.882,87.605,30.315,83.967,121.8509185,60,39.6
fired_dough_twist004T(3),fired_dough_twist004S(3),49.675,94.811,39.009,96.176,183.7221082,60,39.6
fired_dough_twist004T(4),fired_dough_twist004S(4),47.191,93.75,37.613,87.36,166.405789,60,39.6
fired_dough_twist004T(5),fired_dough_twist004S(5),45.181,96.528,39.823,89.368,173.6773247,60,39.6
fired_dough_twist004T(6),fired_dough_twist004S(6),45.69,93.182,32.895,86.813,140.0499882,60,39.6
fired_dough_twist004T(7),fired_dough_twist004S(7),43.598,91.743,33.836,84.615,135.3376156,60,39.6
fired_dough_twist004T(8),fired_dough_twist004S(8),48.969,94.961,35.746,83.967,166.2240906,60,39.6
fired_dough_twist004T(9),fired_dough_twist004S(9),39.655,95.238,37.281,92.308,140.7977692,60,39.6
fired_dough_twist005T(1),fired_dough_twist005S(1),37.374,102.851,32.258,92.204,123.9982447,90,45.1
fired_dough_twist005T(2),fired_dough_twist005S(2),40.244,98.23,39.871,92.663,157.6167661,60,39.6
fired_dough_twist005T(3),fired_dough_twist005S(3),37.079,100.885,38.843,90.11,145.3005894,60,39.6
fired_dough_twist005T(4),fired_dough_twist005S(4),37.791,100.901,40.09,99.713,152.8691711,60,39.6
fired_dough_twist005T(5),fired_dough_twist005S(5),40.361,97.477,41.525,91.129,163.3705284,60,39.6
fired_dough_twist005T(6),fired_dough_twist005S(6),38.889,98.786,42.647,96.649,163.8365003,60,39.6
fired_dough_twist005T(7),fired_dough_twist005S(7),44.512,94.068,33.613,91.667,140.7428348,60,39.6
fired_dough_twist005T(8),fired_dough_twist005S(8),42.284,109.5,34.534,103.161,159.8958043,60,39.6
fired_dough_twist005T(9),fired_dough_twist005S(9),40.741,106.771,33.263,95.17,144.69263,60,39.6
fired_dough_twist006T(1),fired_dough_twist006S(1),41.667,95.161,29.612,94.937,117.4137531,50,40.2
fired_dough_twist006T(2),fired_dough_twist006S(2),45.29,102.778,33.019,99.333,153.697357,50,40.2
fired_dough_twist006T(3),fired_dough_twist006S(3),107.971,41.842,33.416,57.09,150.9642178,50,40.2
fired_dough_twist006T(4),fired_dough_twist006S(4),41.418,106.402,30.198,112.687,133.0813188,50,40.2
fired_dough_twist006T(5),fired_dough_twist006S(5),101.587,45.455,28.218,45.886,130.3004833,50,40.2
fired_dough_twist006T(6),fired_dough_twist006S(6),43.31,105.833,26.887,93.836,123.2399853,50,40.2
fired_dough_twist006T(7),fired_dough_twist006S(7),103.968,43.671,31.122,53,141.3059095,50,40.2
fired_dough_twist007T(1),fired_dough_twist007S(1),41.418,92.5,44.406,117.826,170.126713,60,38.4
fired_dough_twist007T(2),fired_dough_twist007S(2),46.831,94.388,33.889,90.888,149.799019,60,38.4
fired_dough_twist007T(3),fired_dough_twist007S(3),104.333,43.16,41.111,61.712,185.1233378,60,38.4
fired_dough_twist007T(4),fired_dough_twist007S(4),45,90.526,41.608,110.684,169.4972614,60,38.4
fired_dough_twist007T(5),fired_dough_twist007S(5),99.333,36.085,41.267,48.261,147.9187267,60,38.4
fired_dough_twist007T(6),fired_dough_twist007S(6),37,91.584,33.571,96.239,113.7589592,60,38.4
fired_dough_twist007T(7),fired_dough_twist007S(7),102.108,41.667,39.86,64.05,169.5857267,60,38.4
